id,NC_mice,NC_rats,MC_mice,MC_rats
582,14.763714,4.750592,13.93199,4.161812
583,14.763401,4.750578,13.931781,4.16137
584,14.758782,4.750288,13.930606,4.161089
585,14.756691,4.750283,13.928976,4.160789
586,14.756517,4.750105,13.928573,4.160259
587,14.755109,4.749686,13.928547,4.160032
588,14.754065,4.749355,13.928541,4.159769
589,14.751853,4.749045,13.927203,4.159769
590,14.751683,4.748051,13.927075,4.159719
591,14.750682,4.747901,13.926966,4.159461
592,14.74997,4.747668,13.926881,4.15926
593,14.747725,4.747629,13.924718,4.15905
594,14.747691,4.74731,13.923347,4.158941
595,14.747498,4.746953,13.921596,4.158682
596,14.745564,4.746444,13.919955,4.158677
597,14.74076,4.746173,13.91666,4.158634
598,14.738224,4.745501,13.913553,4.15809
599,14.737567,4.745203,13.913197,4.157978
600,14.737272,4.745018,13.91053,4.157729
601,14.736892,4.744823,13.910032,4.156811
602,14.736767,4.744178,13.905793,4.156473
603,14.734919,4.743774,13.903706,4.155421
604,14.73443,4.743548,13.902198,4.155066
605,14.732889,4.743186,13.901522,4.154952
606,14.731609,4.742902,13.901087,4.154948
607,14.730615,4.742792,13.900131,4.154821
608,14.729848,4.742756,13.899264,4.154678
609,14.729513,4.742702,13.89822,4.154633
610,14.728274,4.742455,13.89792,4.154517
611,14.728139,4.742007,13.893835,4.153886
612,14.728002,4.741908,13.891167,4.15341
613,14.727841,4.741816,13.889587,4.153375
614,14.727672,4.74131,13.88489,4.153228
615,14.727343,4.740017,13.884453,4.152625
616,14.725821,4.740015,13.88052,4.152366
617,14.725589,4.739982,13.880294,4.15213
618,14.725354,4.739825,13.878674,4.151774
619,14.724492,4.739618,13.878308,4.151699
620,14.724409,4.739538,13.877984,4.151464
621,14.724346,4.739359,13.876924,4.151367
622,14.724052,4.739134,13.875987,4.150536
623,14.723834,4.739019,13.875956,4.150497
624,14.72354,4.738918,13.875252,4.149985
625,14.722016,4.738655,13.873606,4.149949
626,14.718999,4.738216,13.871871,4.149885
627,14.71805,4.738197,13.870875,4.149745
628,14.716205,4.738081,13.87049,4.14969
629,14.714964,4.737825,13.870252,4.149511
630,14.714243,4.73721,13.867395,4.149313
