id,michael,chengfang
946,14.398388,147.9207
947,14.39801,251.9655
948,14.397475,229.1009
949,14.396594,260.2086
950,14.395561,200.0754
951,14.395241,182.3915
952,14.394588,181.9397
953,14.392557,196.3751
954,14.392441,180.309
955,14.391622,212.6224
956,14.391291,186.9503
957,14.390952,198.5653
958,14.390533,156.8026
959,14.390435,161.3009
960,14.39003,184.0137
961,14.389029,300.4124
962,14.389022,223.8852
963,14.388637,193.8741
964,14.385733,203.8794
965,14.38502,206.6909
966,14.384689,186.1998
967,14.384398,206.4179
968,14.384034,194.092
969,14.383384,197.1783
970,14.382054,231.9561
971,14.382041,158.1963
972,14.381385,163.8759
973,14.379799,201.6654
974,14.379716,161.2475
975,14.379248,210.6048
976,14.378553,222.5916
977,14.377709,319.3312
978,14.37684,208.509
979,14.376179,185.8206
980,14.375963,180.8928
981,14.374431,194.6541
982,14.372945,197.6882
983,14.372081,222.5322
984,14.371776,167.8425
985,14.369383,188.7092
986,14.369255,194.3865
987,14.368489,231.7249
988,14.368065,193.3538
989,14.368017,182.8468
990,14.366083,205.0548
991,14.365963,232.5085
992,14.365181,240.4065
993,14.364233,204.7459
994,14.362939,197.7688
995,14.361699,194.74
996,14.361009,210.5485
997,14.359649,224.1009
998,14.359111,193.5493
999,14.358986,196.7103
1000,14.358691,214.9366
1001,14.357676,192.8761
1002,14.357148,205.7165
1003,14.356992,221.3197
1004,14.356605,199.4635
1005,14.356228,200.4979
1006,14.354641,226.9287
1007,14.353772,178.7801
1008,14.35249,206.4529
1009,14.352304,232.9137
1010,14.350967,173.7086
1011,14.350954,229.5697
1012,14.348031,189.2937
1013,14.347567,217.4881
1014,14.346998,228.0165
1015,14.346921,210.9233
1016,14.346657,185.2171
1017,14.346134,213.3034
1018,14.345525,203.0668
1019,14.344116,154.5293
1020,14.34218,195.9396
1021,14.342032,210.5289
1022,14.339524,179.7548
1023,14.337257,212.7875
1024,14.337196,183.7062
1025,14.334089,205.4039
1026,14.332881,178.5677
1027,14.332219,211.3823
1028,14.331294,187.7444
1029,14.328858,173.0842
1030,14.323123,206.5673
1031,14.323039,187.535
1032,14.321639,171.2371
1033,14.32045,180.4454
1034,14.32016,228.3349
1035,14.31797,187.1273
1036,14.317657,219.1671
1037,14.317612,243.1668
1038,14.317422,212.0697
1039,14.316966,195.5088
1040,14.310567,174.9806
1041,14.310215,174.6473
1042,14.308374,164.7584
1043,14.307952,212.9501
1044,14.307395,243.3573
1045,14.307086,191.3815
1046,14.306968,163.0554
1047,14.30318,207.3127
1048,14.303116,176.6886
1049,14.301617,198.4124
1050,14.301353,198.3846
1051,14.29957,195.7344
1052,14.298723,178.0735
1053,14.298373,187.9669
1054,14.297887,166.0252
1055,14.296198,200.4629
1056,14.296034,186.5712
1057,14.295336,175.5608
1058,14.295172,184.0282
1059,14.29461,213.2753
1060,14.294527,218.0463
1061,14.294435,230.3187
1062,14.294012,192.4853
1063,14.293328,195.568
1064,14.292858,212.1887
1065,14.291423,177.6875
1066,14.29123,231.6731
1067,14.29095,186.9427
1068,14.288349,193.2999
1069,14.288232,222.6934
1070,14.28739,219.9554
1071,14.287115,223.5144
1072,14.28653,205.7036
1073,14.285058,236.919
1074,14.284482,180.028
1075,14.283553,176.9209
1076,14.282176,179.88
1077,14.281379,153.3152
1078,14.279194,167.8178
1079,14.278444,182.5352
1080,14.277982,208.2828
1081,14.276657,182.9607
1082,14.276285,204.5394
1083,14.275697,203.7934
1084,14.275688,211.8371
1085,14.27568,233.4015
1086,14.274609,204.5935
1087,14.27433,245.3294
1088,14.273876,168.8407
1089,14.271945,170.3489
1090,14.271671,171.252
1091,14.271168,197.7135
1092,14.268905,239.9113
1093,14.268677,246.4665
1094,14.267572,175.8847
1095,14.264688,233.4216
1096,14.264465,179.1519
1097,14.263991,198.2967
1098,14.262395,243.0533
1099,14.261563,159.7654
1100,14.261381,156.7171
1101,14.260603,197.4789
1102,14.25926,196.8307
1103,14.258541,198.8543
1104,14.258152,206.6213
1105,14.258147,190.5247
1106,14.257419,201.2375
1107,14.257069,184.2516
1108,14.256547,161.4224
1109,14.255254,157.4155
1110,14.254985,167.6835
1111,14.25376,197.0584
1112,14.253624,183.6339
1113,14.25319,187.5967
1114,14.251633,192.3621
1115,14.250574,166.9869
1116,14.250194,249.6869
1117,14.249826,214.6195
1118,14.249821,247.4458
1119,14.249579,222.567
1120,14.249036,233.4565
1121,14.248414,210.4948
1122,14.248384,157.6006
1123,14.248082,211.189
1124,14.247538,161.25
1125,14.24743,235.1859
1126,14.247332,181.2418
1127,14.243314,263.5937
1128,14.242612,196.4867
1129,14.241914,179.7671
1130,14.240057,201.9166
1131,14.240054,204.8474
1132,14.23899,169.2376
1133,14.237715,188.4047
1134,14.237188,220.215
1135,14.235724,166.8777
1136,14.235591,163.4866
1137,14.235107,285.4878
1138,14.23205,138.7447
1139,14.230483,171.5041
1140,14.230219,195.8291
1141,14.230178,173.8746
1142,14.229413,204.0748
1143,14.229107,168.4947
1144,14.228503,154.2912
1145,14.228285,185.6749
1146,14.22805,160.3165
1147,14.228017,180.0426
1148,14.227957,176.7515
1149,14.227408,210.5019
1150,14.226626,155.6911
1151,14.225574,189.0628
1152,14.224558,190.7976
1153,14.222997,180.599
1154,14.221223,189.2551
1155,14.219504,186.2342
1156,14.218605,211.2631
1157,14.218039,171.7415
